accounts-qml-module 0.7-4
haskell-attoparsec 0.14.4-40
haskell-attoparsec-iso8601 1.1.0.0-16
haskell-auto-update 0.1.6-281
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-18
haskell-base-orphans 0.8.7-25
haskell-base16-bytestring 1.0.2.0-46
haskell-base64 0.4.2.4-32
haskell-base64-bytestring 1.2.1.0-68
haskell-basement 0.0.15-1
haskell-bifunctors 5.5.13-8
haskell-bitvec 1.1.3.0-17
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-190
haskell-blaze-markup 0.8.2.8-96
haskell-boring 0.2-4
haskell-bsb-http-chunked 0.0.0.4-325
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-call-stack 0.4.0-117
haskell-case-insensitive 1.2.1.0-169
haskell-cereal 0.5.8.3-1
haskell-citeproc 0.8.0.2-6
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-142
haskell-commonmark 0.2.2-22
haskell-commonmark-extensions 0.2.3.3-5
haskell-commonmark-pandoc 0.2.1.2-91
haskell-comonad 5.0.8-168
haskell-conduit 1.3.4.3-7
haskell-conduit-extra 1.3.6-39
haskell-connection 0.3.1-222
haskell-constraints 0.13.4-15
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.5-12
haskell-cryptonite 0.30-37
haskell-data-default 0.7.1.1-256
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-269
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-68
haskell-dec 0.0.5-1
haskell-digest 0.0.1.3-2
haskell-distributive 0.6.2.1-171
haskell-dlist 1.0-191
haskell-doclayout 0.4-17
haskell-doctemplates 0.10.0.2-27
haskell-easy-file 0.2.2-19
haskell-emojis 0.1.2-40
haskell-erf 2.0.0.0-24
haskell-fast-logger 3.1.1-59
haskell-file-embed 0.0.15.0-1
haskell-generically 0.1-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-56
haskell-gridtables 0.1.0.0-4
haskell-haddock-library 1.10.0-179
haskell-hashable 1.4.1.0-29
haskell-hourglass 0.2.12-212
haskell-hslua 2.2.1-13
haskell-hslua-aeson 2.2.1-14
haskell-hslua-classes 2.2.0-31
haskell-hslua-core 2.2.1-25
haskell-hslua-marshalling 2.2.1-19
haskell-hslua-module-doclayout 1.0.4-63
haskell-hslua-module-path 1.0.3-22
haskell-hslua-module-system 1.0.2-19
haskell-hslua-module-text 1.0.2-21
haskell-hslua-module-version 1.0.3-19
haskell-hslua-objectorientation 2.2.1-15
haskell-hslua-packaging 2.2.1-11
haskell-hsyaml 0.2.1.1-24
haskell-http-api-data 0.5-5
haskell-http-client 0.7.13.1-20
haskell-http-client-tls 0.3.6.1-64
haskell-http-date 0.0.11-102
haskell-http-media 0.8.0.0-171
haskell-http-types 0.12.3-273
haskell-http2 3.0.3-7
haskell-hunit 1.6.2.0-159
haskell-indexed-traversable 0.1.2-2
haskell-indexed-traversable-instances 0.1.1.1-19
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-44
haskell-ipynb 0.2-59
haskell-jira-wiki-markup 1.4.0-79
haskell-juicypixels 3.3.7-36
haskell-lexer 1.1-11
haskell-libyaml 0.1.2-261
haskell-lpeg 1.0.3-15
haskell-lua 2.2.1-16
haskell-memory 0.17.0-33
haskell-mime-types 0.1.1.0-1
haskell-mmorph 1.2.0-5
haskell-monad-control 1.0.3.1-68
haskell-mono-traversable 1.0.15.3-92
haskell-network 3.1.2.7-44
haskell-network-byte-order 0.1.6-144
haskell-network-uri 2.6.4.1-102
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-onetuple 0.3.1-41
haskell-optparse-applicative 0.17.0.0-14
haskell-pandoc-lua-marshal 0.1.7-20
haskell-pandoc-types 1.22.2.1-18
haskell-pem 0.2.4-250
haskell-pretty-show 1.10-13
haskell-primitive 0.7.4.0-43
