accounts-qml-module 0.7-4
pipewire-alsa 1:0.3.59-3
pipewire-audio 1:0.3.59-3
pipewire-jack 1:0.3.59-3
pipewire-pulse 1:0.3.59-3
pixman 0.42.0-1
pkgconf 1.8.0-1
plasma-browser-integration 5.26.2-1
plasma-desktop 5.26.2-1
plasma-disks 5.26.2-1
plasma-firewall 5.26.2-1
plasma-framework 5.99.0-1
plasma-integration 5.26.2-1
plasma-meta 5.25-1
plasma-nm 5.26.2-1
plasma-pa 5.26.2-1
plasma-systemmonitor 5.26.2-1
plasma-thunderbolt 5.26.2-1
plasma-vault 5.26.2-1
plasma-workspace 5.26.2-1
plasma-workspace-wallpapers 5.26.2-1
playerctl 2.4.1-2
plocate 1.1.16-1
polkit 122-1
polkit-kde-agent 5.26.2-1
polkit-qt5 0.114.0-1
polybar 3.6.3-2
poppler 22.10.0-1
poppler-data 0.4.11-1
poppler-glib 22.10.0-1
poppler-qt5 22.10.0-1
popt 1.18-3
portaudio 1:19.7.0-1
portmidi 236-1
portsmf 234-2
potrace 1.16-2
powerdevil 5.26.2-1
ppp 2.4.9-2
prison 5.99.0-1
procps-ng 3.3.17-1
protobuf 21.9-1
protobuf-c 1.4.1-1
psmisc 23.5-1
purpose 5.99.0-1
python 3.10.8-2
python-anyio 3.6.2-1
python-appdirs 1.4.4-7
python-argon2-cffi-bindings 21.2.0-2
python-argon2_cffi 21.3.0-2
python-asttokens 2.1.0-1
python-async_generator 1.10-7
python-attrs 22.1.0-1
python-autocommand 2.2.1-1
python-automat 22.10.0-1
python-babel 2.10.3-1
python-backcall 0.2.0-7
python-beautifulsoup4 4.11.1-1
python-bleach 5.0.1-2
python-cairo 1.21.0-1
python-certifi 2022.09.24-1
python-cffi 1.15.1-1
python-chardet 5.0.0-1
python-click 8.1.3-1
python-constantly 15.1.0-11
python-contourpy 1.0.6-1
python-cryptography 38.0.1-1
python-cycler 0.11.0-1
python-dateutil 2.8.2-4
python-debugpy 1.6.3-1
python-decorator 5.1.1-1
python-defusedxml 0.7.1-4
python-deprecation 2.1.0-6
python-distro 1.7.0-1
python-dnspython 1:2.2.1-1
python-docopt 0.6.2-11
python-entrypoints 0.4-2
python-evdev 1.6.0-1
python-executing 1.2.0-1
python-fastjsonschema 2.16.2-1
python-flask 2.2.2-1
python-flask-cors 3.0.10-3
python-fonttools 4.38.0-1
python-future 0.18.2-7
python-geoip 1.3.2-12
python-gobject 3.42.2-1
python-html5lib 1.1-11
python-hyperlink 21.0.0-4
python-idna 3.4-1
python-ifaddr 0.2.0-1
python-importlib-metadata 5.0.0-1
python-incremental 22.10.0-1
python-inflect 6.0.2-1
python-ipykernel 6.17.0-1
python-ipython-genutils 0.2.0-1
python-isodate 0.6.1-1
python-itsdangerous 2.1.2-2
python-jaraco.context 4.1.2-1
python-jaraco.functools 3.5.2-1
python-jaraco.text 3.10.0-1
python-jedi 0.18.1-1
python-jinja 1:3.1.2-2
python-json5 0.9.10-1
python-jsonschema 4.16.0-2
python-jupyter_client 7.4.4-1
python-jupyter_core 4.11.2-1
python-jupyter_packaging 0.12.3-1
python-jupyterlab_server 2.16.2-1
python-kiwisolver 1.4.4-1
python-lxml 4.9.1-1
python-mako 1.2.3-1
python-markdown 3.4.1-2
python-markupsafe 2.1.1-1
python-matplotlib 3.6.1-2
python-matplotlib-inline 0.1.6-2
python-mistune 2.0.4-1
python-more-itertools 9.0.0-1
python-msgpack 1.0.4-1
python-nest-asyncio 1.5.6-1
python-nspektr 0.4.0-2
python-numpy 1.23.4-1
python-ordered-set 4.1.0-1
python-orjson 3.8.1-1
python-packaging 21.3-1
python-pandas 1.4.4-1
python-pandocfilters 1.5.0-1
python-parso 1:0.8.3-1
python-pexpect 4.8.0-6
python-pickleshare 0.7.5-8
python-pillow 9.3.0-1
python-pip 22.3-1
python-ply 3.11-10
python-prometheus_client 0.15.0-1
python-prompt_toolkit 3.0.31-1
python-protobuf 21.9-1
python-psutil 5.9.3-1
python-ptyprocess 0.7.0-4
python-pure-eval 0.2.2-2
python-pyasn1 0.4.8-7
python-pyasn1-modules 0.2.8-6
python-pycountry 22.3.5-1
python-pycparser 2.21-3
python-pycryptodome 3.15.0-2
python-pydantic 1.10.2-1
python-pygame 2.1.2-2
python-pyglet 1.5.27-1
python-pygments 2.13.0-1
python-pyopenssl 22.1.0-1
python-pyparsing 3.0.9-1
python-pyqt6 6.4.0-1
python-pyqt6-sip 13.4.0-1
python-pyqt6-webengine 6.4.0-1
python-pyrsistent 0.19.0-1
python-pysocks 1.7.1-7
python-pytz 2022.1-1
python-pyxdg 0.28-1
python-pyzmq 24.0.1-1
python-rencode 1.0.6-7
python-requests 2.28.1-1
python-requests-unixsocket 0.3.0-1
python-send2trash 1.8.0-3
python-service-identity 21.1.0-4
python-setproctitle 1.3.1-1
python-setuptools 1:63.4.3-1
python-six 1.16.0-6
python-sniffio 1.3.0-1
python-soundfile 0.10.3.post1-3
python-soupsieve 2.3.2.post1-1
python-stack-data 0.6.0-1
python-terminado 0.17.0-1
python-testpath 0.6.0-1
python-tinycss2 1.2.1-1
python-tomli 2.0.1-1
python-tomlkit 0.11.5-2
python-tornado 6.2.0-1
python-traitlets 5.5.0-1
python-trove-classifiers 2022.10.19-1
python-twisted 22.8.0-1
python-typing_extensions 4.4.0-1
python-urllib3 1.26.12-1
python-validate-pyproject 0.10.1-1
python-waitress 2.1.2-1
python-wcwidth 0.2.5-6
python-webencodings 0.5.1-9
python-websocket-client 1.4.1-1
python-werkzeug 2.2.2-1
python-wheel 0.37.1-1
python-xlib 0.31-3
python-zipp 3.10.0-1
python-zope-interface 5.5.0-1
qca-qt5 2.3.5-1
qemu-audio-alsa 7.1.0-10
qemu-audio-dbus 7.1.0-10
qemu-audio-jack 7.1.0-10
qemu-audio-oss 7.1.0-10
qemu-audio-pa 7.1.0-10
qemu-audio-sdl 7.1.0-10
qemu-audio-spice 7.1.0-10
qemu-block-curl 7.1.0-10
qemu-block-dmg 7.1.0-10
qemu-block-nfs 7.1.0-10
qemu-block-ssh 7.1.0-10
qemu-chardev-spice 7.1.0-10
qemu-common 7.1.0-10
qemu-desktop 7.1.0-10
qemu-hw-display-qxl 7.1.0-10
qemu-hw-display-virtio-gpu 7.1.0-10
qemu-hw-display-virtio-gpu-gl 7.1.0-10
qemu-hw-display-virtio-gpu-pci 7.1.0-10
qemu-hw-display-virtio-gpu-pci-gl 7.1.0-10
qemu-hw-display-virtio-vga 7.1.0-10
qemu-hw-display-virtio-vga-gl 7.1.0-10
qemu-hw-s390x-virtio-gpu-ccw 7.1.0-10
qemu-hw-usb-host 7.1.0-10
qemu-hw-usb-redirect 7.1.0-10
qemu-hw-usb-smartcard 7.1.0-10
qemu-img 7.1.0-10
qemu-pr-helper 7.1.0-10
qemu-system-x86 7.1.0-10
qemu-system-x86-firmware 7.1.0-10
qemu-tools 7.1.0-10
qemu-ui-curses 7.1.0-10
qemu-ui-dbus 7.1.0-10
qemu-ui-egl-headless 7.1.0-10
qemu-ui-gtk 7.1.0-10
qemu-ui-opengl 7.1.0-10
qemu-ui-sdl 7.1.0-10
qemu-ui-spice-app 7.1.0-10
qemu-ui-spice-core 7.1.0-10
qemu-vhost-user-gpu 7.1.0-10
qemu-virtiofsd 7.1.0-10
qhull 2020.2-4
qpdf 11.1.1-1
qqc2-desktop-style 5.99.0-1
qrencode 4.1.1-1
qt5-base 5.15.7+kde+r167-1
qt5-declarative 5.15.7+kde+r18-1
qt5-graphicaleffects 5.15.7-1
qt5-location 5.15.7+kde+r3-1
qt5-multimedia 5.15.7+kde+r1-1
qt5-quickcontrols 5.15.7-1
qt5-quickcontrols2 5.15.7+kde+r5-1
qt5-sensors 5.15.7-1
qt5-speech 5.15.7+kde+r1-1
qt5-svg 5.15.7+kde+r9-1
qt5-tools 5.15.7+kde+r1-1
qt5-translations 5.15.7-1
qt5-wayland 5.15.7+kde+r49-1
qt5-webchannel 5.15.7+kde+r3-1
qt5-webengine 5.15.11-2
qt5-webview 5.15.7-1
qt5-x11extras 5.15.7-1
qt5-xmlpatterns 5.15.7-1
qt6-base 6.4.0-2
qt6-declarative 6.4.0-2
qt6-positioning 6.4.0-1
qt6-svg 6.4.0-1
qt6-translations 6.4.0-1
qt6-webchannel 6.4.0-1
qt6-webengine 6.4.0-5
ranger 1.9.3-4
rapidjson 1.1.0-5
rav1e 0.5.1-2
re2 1:20220601-1
readline 8.2.001-1
redshift 1.12-5
refind 0.13.3.1-1
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.2-1
rnnoise 0.4.1-1
rofi 1.7.5-1
rsync 3.2.7-1
rtkit 0.13-2
rubberband 3.1.1-1
run-parts 5.5-1
samba 4.17.2-1
sbc 2.0-1
screen 4.9.0-1
sddm 0.19.0-9
sddm-kcm 5.26.2-1
sdl12-compat 1.2.56-1
sdl2 2.24.1-1
sdl2_image 2.6.2-2
sdl2_mixer 2.6.2-1
sdl2_ttf 2.20.1-1
sdl_image 1.2.12-7
seabios 1.16.0-3
sed 4.8-1
semver 7.3.8-1
serd 0.30.16-1
shaderc 2022.1-4
shadow 4.11.1-3
shared-mime-info 2.0+155+gf4e7cbc-1
signon-kwallet-extension 22.08.2-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-3
signond 8.61-1
slang 2.3.3-1
smartmontools 7.3-1
smbclient 4.17.2-1
snappy 1.1.9-2
sndio 1.9.0-1
socat 1.7.4.3-1
solid 5.99.0-1
sonnet 5.99.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.1-2
source-highlight 3.1.9-9
speex 1.2.1-1
speexdsp 1.2.1-1
spice 0.15.0-1
spirv-tools 2022.1-1
spotify-qt 3.9-1
spotify-tui 0.25.0-2
spotifyd 0.3.3-1
sqlite 3.39.4-1
sratom 0.6.14-1
srt 1.5.1-1
startup-notification 0.12-7
streamlink 5.0.1-1
sudo 1.9.12-1
suil 0.10.18-1
suitesparse 5.13.0-1
svt-av1 1.3.0-1
sxhkd 0.6.2-2
syndication 5.99.0-1
syntax-highlighting 5.99.0-1
sysfsutils 2.1.1-1
systemd 251.7-1
systemd-libs 251.7-1
systemd-sysvcompat 251.7-1
systemsettings 5.26.2-1
t1lib 5.1.2-8
taglib 1.13-1
talloc 2.3.4-1
tar 1.34-1
tcl 8.6.12-3
tdb 1.4.7-1
tevent 1:0.13.0-1
texinfo 6.8-2
texlive-bibtexextra 2022.63023-1
texlive-bin 2022.62885-2
texlive-core 2022.63035-1
texlive-fontsextra 2022.62977-1
texlive-formatsextra 2022.62529-1
texlive-games 2022.62102-1
texlive-humanities 2022.62929-1
texlive-latexextra 2022.63034-1
texlive-music 2022.62533-1
texlive-pictures 2022.62992-1
texlive-pstricks 2022.62977-1
texlive-publishers 2022.63013-1
texlive-science 2022.62977-1
thin-provisioning-tools 0.9.0-1
threadweaver 5.99.0-1
thunar 4.16.11-2
tinyxml2 9.0.0-1
tk 8.6.12-1
tmux 3.3_a-2
tpm2-tss 3.2.0-1
tracker3 3.4.1-1
tree 2.0.4-1
tree-sitter 0.20.7-1
tslib 1.22-1
ttf-hack 3.003-3
ttf-joypixels 7.0.0-1
ttf-liberation 2.1.5-1
ttf-ms-fonts 2.0-12
ttf-nerd-fonts-symbols-common 2.2.2-4
tumbler 4.16.1-1
twitch-cli-bin 1.1.6-1
twolame 0.4.0-2
tzdata 2022f-1
uchardet 0.0.7-1
udisks2 2.9.4-1
ueberzug 18.1.9-4
unibilium 2.1.1-1
unicode-cldr-annotations 40.0-1
unzip 6.0-19
upower 1.90.0-1
usbmuxd 1.1.1-1
usbredir 0.13.0-1
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
vamp-plugin-sdk 2.10.0-1
vde2 2.3.3-3
vid.stab 1.1-3
virglrenderer 0.9.1-1
vmaf 2.3.1-1
volume_key 0.3.12-7
vte-common 0.70.1-1
vte3 0.70.1-1
vulkan-headers 1:1.3.227-1
vulkan-icd-loader 1.3.226-1
vulkan-tools 1.3.226-1
w3m 0.5.3.git20220409_1-1
wavpack 5.5.0-1
wayland 1.21.0-1
wayland-protocols 1.27-1
wayland-utils 1.1.0-1
webkit2gtk 2.38.1-1
webrtc-audio-processing 0.3.1-3
wget 1.21.3-1
which 2.21-5
wildmidi 0.4.4-1
wireless_tools 30.pre9-3
wireplumber 0.4.12-1
woff2 1.0.2-4
wolfssl 5.5.2-1
wpa_supplicant 2:2.10-5
wpebackend-fdo 1.14.0-1
wxwidgets-common 3.2.1-1
wxwidgets-gtk3 3.2.1-1
x11-emoji-picker-git 0.10.0.r0.g7650a30-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xbindkeys 1.8.7-3
xboxdrv 0.8.8-7
xcb-imdkit 1.0.3-1
xcb-proto 1.15.2-1
xcb-util 0.4.0-4
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xclip 0.13-3
xdg-dbus-proxy 0.1.4-1
xdg-desktop-portal-kde 5.26.2-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+21+g1a58bc2-2
xdotool 3.20211022.1-1
xf86-input-libinput 1.2.1-1
xf86-video-vesa 2.5.0-3
xfconf 4.16.0-2
xfsprogs 5.19.0-2
xkeyboard-config 2.37-1
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.2-1
xorg-font-util 1.3.3-1
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-alias-100dpi 1.0.4-1
xorg-fonts-alias-75dpi 1.0.4-1
xorg-fonts-encodings 1.0.6-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.4-1
xorg-server-common 21.1.4-1
xorg-server-devel 21.1.4-1
xorg-server-xephyr 21.1.4-1
xorg-server-xnest 21.1.4-1
xorg-server-xvfb 21.1.4-1
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.3-1
xorg-smproxy 1.0.7-1
xorg-util-macros 1.19.3-1
xorg-x11perf 1.6.2-1
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.7-3
xorg-xdpyinfo 1.3.3-4
xorg-xdriinfo 1.0.6-3
xorg-xev 1.2.5-1
xorg-xgamma 1.0.6-4
xorg-xhost 1.0.8-3
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-3
xorg-xkbcomp 1.4.5-1
xorg-xkbevd 1.1.4-4
xorg-xkbutils 1.0.5-1
xorg-xkill 1.0.5-3
xorg-xlsatoms 1.1.3-3
xorg-xlsclients 1.1.4-3
xorg-xmessage 1.0.6-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.1.0-1
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.4-3
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.4-3
xorg-xwayland 22.1.4-3
xorg-xwd 1.0.8-1
xorg-xwininfo 1.1.5-3
xorg-xwud 1.0.6-1
xorgproto 2022.2-1
xvidcore 1.3.7-2
xxhash 0.8.1-2
xz 5.2.7-1
yajl 2.1.0-5
youtube-dl 2021.12.17-1
yt-dlp 2022.10.04-1
zeromq 4.3.4-2
zimg 3.0.4-1
zip 3.0-10
zlib 1:1.2.13-1
zoom 5.10.7-1
zsh 5.9-1
zsh-completions 0.34.0-2
zstd 1.5.2-7
zxing-cpp 1.4.0-1
zziplib 0.13.72-1
